cmp_tag	cmp_num	k_num	k_s	tag_ksa	name_ksa	src_doc	description
compute_fndns	1	1	k	algorithms	Algorithms	NASEM_2018	Knowledge of the principles and practices of designing and implementing algorithms, from algorithmic thinking through current artificial intelligence and Machine Learning methods.
compute_fndns	1	2	s	programming	Programming	NASEM_2018	Skill in programming in at least one general-purpose compiled and one interpreted language (e.g., C and Python) and applying software development processes (e.g., code standardization) and paradigms (e.g., DevOps or Machine Learning Ops).
compute_fndns	1	3	k	data_structures	Data Structures	NASEM_2018	Knowledge of data structures, from basic abstractions (linked lists, etc.) through database principles.
compute_fndns	1	4	k	computation_theory	Computation Theory	NASEM_2018	Knowledge of the mathematics behind the determination of whether and how efficiently a computational problem can be solved.
compute_fndns	1	5	k	computer_architectures	Computer Architectures	NASEM_2018	Knowledge of computer functionality and organization, from microarchitectures through systems design.
collab	2	1	s	problem_formulation	Problem Formulation	z_other	Skill in approximating domain problems with related data science questions that can be addressed by suitable mathematical, statistical, or computational methods on readily available or obtainable data.
collab	2	2	s	domain_expertise	Domain Expertise	NASEM_2018	Skill in developing sufficient domain knowledge to attack client problems and build up that knowledge throughout the life cycle of the project.
collab	2	3	s	iterative_collaboration	Iterative Collaboration	NASEM_2018	Skill in working collaboratively and iteratively with domain experts throughout the data science life cycle.
collab	2	4	s	productive_challenges	Productive Challenges	z_other	Skill in challenging prevailing conceptions bearing on the success of a data science project in a manner that respects all perspectives and generates productive discussion.
collab	2	5	s	project_options	Project Options	z_other	Skill in eliciting and clarifying the goals, procedures, and milestones of data science projects to identify and select project options throughout the project life cycle.
collab	2	6	s	limits	Limitations	DSci-CRG_2018	Skill in communicating the limitations of data and models.
collab	2	7	s	data_narratives	Data Narratives	DSci-CRG_2018	Skill in building data narratives that communicate principled inferences from data, provide a comprehensive perspective, inform decisions, and enable action.
collab	2	8	s	asking_questions	Asking Questions	z_other	Skill in asking the right questions, at the right level of detail, of relevant stakeholders and experts to gather needed information throughout the project life cycle. Skill in asking insightful questions of domain experts to reveal assumptions and background knowledge.
data_engr	3	1	k	org_platforms	Organizational Platforms	z_other	Knowledge of using or building organization's data storage and analytic platforms as needed for gathering, grooming, feature engineering, and enrichment to efficiently process operational, test, and training datasets (e.g., applying AWS Textract to extract searchable text from images).
data_engr	3	2	s	data_collection	Data Collection	NASEM_2018	Skill in gathering structured or unstructured operational, test, and training datasets from organizational data lakes (cloud platforms, on-premises storage solutions, etc.) as required by authorized intelligence needs utilizing a variety of techniques, including file ingest and programmatic interfaces.
data_engr	3	3	s	data_regularization	Data Regularization	z_other	Skill in detecting and managing erroneous, missing, or questionable data introduced along the data pipeline and transforming values based on appropriate standards to construct usable data sets from multiple sources.
data_engr	3	4	s	data_management	Data Management	NASEM_2018	Skill in configuring and using data curation systems to record data provenance, meet security and privacy requirements, and age-off data, as required.
data_engr	3	5	k	defensible_workflows	Defensible Workflows	NASEM_2018	Knowledge of documentation processes and coding practices that enable data workflows to be reproduced, explained, and defended.
data_engr	3	6	s	end-user_solutions	End-User Solutions	NASEM_2018	Skill in constructing tools that convey information to domain experts, team members, and internal audiences on demand using open source and in-house software solutions.
ds_ai_gov	4	1	k	environmental_awareness	Environmental Awareness	z_other	Knowledge of government (U.S. and other) documents, policies, and proposed recommendations for data science and/or artificial intelligence (AI) components (e.g., training data, algorithms, models, model output), along with ethical considerations (e.g., trustworthy AI, or systems that can be explained and/or interpreted) and their impact on current and future development and use of data science and/or artificial intelligence.
ds_ai_gov	4	2	s	risk_assessment	Risk Assessment	z_other	Skill in evaluating ethical implications and governance attributes (e.g., classification, retention, authorities) of training data, models, and model output used to operationalize data science and/or artificial intelligence products in accordance with existing policies, laws, government documents, etc.
ds_ai_gov	4	3	s	risk_mitigation	Risk Mitigation	z_other	Skill in developing implementation guidance and best practices for data science and/or artificial intelligence components that apply broadly across missions while minimizing legal, privacy, security, and technical risks, and accounting for ethical constraints and considerations.
math_fndns	5	1	k	mathematical_analysis	Mathematical Analysis	NASEM_2018	Knowledge of topics related to introductory calculus, real and complex variables, functional analysis, and measure theory.
math_fndns	5	2	k	probability_theory	Probability Theory	NASEM_2018	Knowledge of topics in probability theory, from fundamental concepts, such as independence and conditional distributions, to stochastic processes.
math_fndns	5	3	k	set_theory_logic	Set Theory and Logic	NASEM_2018	Knowledge of topics in set theory and logic, from naïve set theory and logical operations through algebraic representations.
math_fndns	5	4	k	linear_algebra	Linear Algebra	NASEM_2018	Knowledge of topics in linear algebra, including vectors and matrices in low dimensions, abstract vector spaces, tensor products, operator algebras, and relevant numerical methods.
math_fndns	5	5	k	graph_theory	Graph Theory	NASEM_2018	Knowledge of topics in graph theory, from fundamental concepts such as nodes and edges through algorithmic solutions (e.g., shortest path).
math_fndns	5	6	k	optimization	Optimization	NASEM_2018	Knowledge of topics in mathematical optimization, from calculus-based computation of local extrema through algorithmic and numerical solution of constrained, non-convex problems.
data_analysis	6	1	k	data_origin	Data Origin	z_other	Ability to critically assess data and data sets in a mission context to determine data quality, identify bias, and account for missing data, and; apply knowledge of organization-specific data sources and databases to extract data and join different data sets without loss or duplication.
data_analysis	6	2	s	data_cleaning	Data Cleaning	NASEM_2018	Skill in preparing data to answer a specific question and enables statistical analysis of data by identifying useful subsets of data and by application-appropriate handling of missing or low-quality data records or attributes.
data_analysis	6	3	s	EDA	Exploratory Data Analysis	NASEM_2018	Skill in conducting exploratory data analysis, iterative data visualization, numerical summarization, exploratory model-fitting, and unsupervised learning to reveal data features of interest.
data_analysis	6	4	s	dynamic_data_visualization	Data Visualization	NASEM_2018	Skill in displaying data and data-analytic results in appropriate formats to enable comparisons, display changes and trends, and create visual representations that enhance client comprehension and decision making, which requires the knowledge of data-visualization aspects of interactive data displays and data dashboards.
data_analysis	6	5	s	feature_engineering	Feature Engineering	NASEM_2018	Skill in transforming data guided by domain knowledge to enhance data utility for specific purposes (e.g., human interpretation, statistical inference, or statistical prediction).
data_analysis	6	6	k	scientific_method	Scientific Method	NASEM_2018	Knowledge of the process of formulating questions, generating and testing hypotheses about aspects of the world that are observable through data, drawing conclusions, and refining questions in response to new knowledge. Knowledge of the difference between deductive, inductive, and retroductive (or abductive) reasoning.
stats_fndns	7	1	k	experimental_design	Experimental Design	NASEM_2018	Knowledge of topics in the design of surveys, experiments, and observational studies.
stats_fndns	7	2	k	linear_models	Linear Models	NASEM_2018	Knowledge of topics in linear models, from foundational concepts (e.g., simple linear model) through generalized linear and additive models.
